k,query_count,point_count,algorithm,dim,time,throughput
8,1024,1048576,bits + MAGMA,4,0.0109413124,98136474377.60757
8,1024,1048576,bits + MAGMA,8,0.0112140881,95749365835.64026
8,1024,1048576,bits + MAGMA,16,0.0117167258,91641798428.02159
8,1024,1048576,bits + zero computation,4,0.00982344568100586,109303991579.66898
8,1024,1048576,bits + zero computation,8,0.00984407153238209,109074971719.56995
8,1024,1048576,bits + zero computation,16,0.00988207053513455,108655551504.35692
8,1024,1048576,bits-fused,4,0.0018401171,583518203270.8679
8,1024,1048576,bits-fused,8,0.0024587135999999997,436708782999.3701
8,1024,1048576,bits-fused,16,0.0036894414,291031001061.5699
8,1024,1048576,raftL2-fused,4,0.0049023692,219025083626.91248
8,1024,1048576,raftL2-fused,8,0.0049030563,218994390090.93164
8,1024,1048576,raftL2-fused,16,0.0049212412,218185165157.11523
8,2048,524288,bits + MAGMA,4,0.0109347544,98195330660.55878
8,2048,524288,bits + MAGMA,8,0.0111808345,96034139848.8637
8,2048,524288,bits + MAGMA,16,0.011720347400000001,91613481013.36995
8,2048,524288,bits + zero computation,4,0.009817407596270977,109371217754.86308
8,2048,524288,bits + zero computation,8,0.009822606162912327,109313333568.65892
8,2048,524288,bits + zero computation,16,0.009838980596195023,109131409855.1269
8,2048,524288,bits-fused,4,0.0015399090000000001,697276153331.1383
8,2048,524288,bits-fused,8,0.0021195001,506601450030.59924
8,2048,524288,bits-fused,16,0.0030832057999999997,348254996147.192
8,2048,524288,raftL2-fused,4,0.0041189021,260686415440.6583
8,2048,524288,raftL2-fused,8,0.0041241642,260353800656.14267
8,2048,524288,raftL2-fused,16,0.0041343968,259709427019.6804
8,4096,262144,bits + MAGMA,4,0.0108141509,99290442118.76126
8,4096,262144,bits + MAGMA,8,0.011101677,96718885263.91103
8,4096,262144,bits + MAGMA,16,0.0116273971,92345846173.94722
8,4096,262144,bits + zero computation,4,0.00980917109485677,109463053872.41064
8,4096,262144,bits + zero computation,8,0.009811625460083911,109435671833.19868
