algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
bits (ascending data),uniform,ascending,10,16777216,64,1,512,128,"1,1,1",1,selection,0.022958289,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,128,"1,1,1",1,selection,0.022953812,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,128,"1,1,1",1,selection,0.022947412,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,128,"1,1,1",1,selection,0.022940472,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,16777216,64,1,512,128,"1,1,1",1,selection,0.022936646,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,128,"1,1,1",1,selection,0.02293948,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,128,"1,1,1",1,selection,0.022963907,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,128,"1,1,1",1,selection,0.022956566,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,128,"1,1,1",1,selection,0.022947272,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,128,"1,1,1",1,selection,0.022949776,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,512,256,"1,1,1",1,selection,0.126622929,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,512,256,"1,1,1",1,selection,0.126620306,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,512,256,"1,1,1",1,selection,0.126621958,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,512,256,"1,1,1",1,selection,0.126627887,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,512,256,"1,1,1",1,selection,0.126710682,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,512,256,"1,1,1",1,selection,0.126667537,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,512,256,"1,1,1",1,selection,0.126624552,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,512,256,"1,1,1",1,selection,0.126629218,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,512,256,"1,1,1",1,selection,0.126618653,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,512,256,"1,1,1",1,selection,0.126826709,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,256,"1,1,1",1,selection,0.022940952,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,256,"1,1,1",1,selection,0.022945169,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,256,"1,1,1",1,selection,0.022949766,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,256,"1,1,1",1,selection,0.022958539,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,16777216,64,1,512,256,"1,1,1",1,selection,0.022966532,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,256,"1,1,1",1,selection,0.022951518,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,256,"1,1,1",1,selection,0.022948464,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,256,"1,1,1",1,selection,0.02295275,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,256,"1,1,1",1,selection,0.022943035,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,256,"1,1,1",1,selection,0.022964708,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,256,512,"1,1,1",1,selection,0.115450377,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,256,512,"1,1,1",1,selection,0.1154329,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,256,512,"1,1,1",1,selection,0.115703963,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,256,512,"1,1,1",1,selection,0.115509226,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,256,512,"1,1,1",1,selection,0.115565392,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,256,512,"1,1,1",1,selection,0.115579594,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,256,512,"1,1,1",1,selection,0.115501614,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,256,512,"1,1,1",1,selection,0.115447993,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,256,512,"1,1,1",1,selection,0.115496086,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,256,512,"1,1,1",1,selection,0.115564631,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,512,"1,1,1",1,selection,0.022947583,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,512,"1,1,1",1,selection,0.022965431,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,512,"1,1,1",1,selection,0.022942625,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,512,"1,1,1",1,selection,0.022946752,hopper01,108407,ascending
