k,query_count,point_count,algorithm,dim,time,throughput
32,64,16777216,AIR Top-$K$,1,0.0059328001,180983988319.44464
32,64,16777216,BlockSelect,1,0.05211216589999999,20604436707.9358
32,64,16777216,GridSelect,1,0.0031523734999999997,340613770544.63885
32,64,16777216,bits,1,0.0028797634999999998,372857640566.6646
32,256,4194304,AIR Top-$K$,1,0.0059104833999999995,181667344501.80505
32,256,4194304,BlockSelect,1,0.0129082812,83182401077.53464
32,256,4194304,GridSelect,1,0.0030328048,354042510088.35126
32,256,4194304,bits,1,0.0028783635000000003,373038993858.8368
32,1024,1048576,AIR Top-$K$,1,0.0057039344,188245822742.98245
32,1024,1048576,BlockSelect,1,0.0036699184000000004,292579209390.5957
32,1024,1048576,GridSelect,1,0.0029475862,364278345447.5394
32,1024,1048576,bits,1,0.0028721328,373848251027.9469
32,4096,262144,AIR Top-$K$,1,0.0057706959,186067996409.2372
32,4096,262144,BlockSelect,1,0.0029334313,366036124316.2572
32,4096,262144,GridSelect,1,0.0033638327000000004,319201910368.4912
32,4096,262144,bits,1,0.002874429,373549607243.7343
64,64,16777216,AIR Top-$K$,1,0.005942602,180685468082.83646
64,64,16777216,BlockSelect,1,0.052132591900000004,20596363711.58442
64,64,16777216,GridSelect,1,0.0031685071,338879412326.3918
64,64,16777216,bits,1,0.0028918901,371294131820.5695
64,256,4194304,AIR Top-$K$,1,0.005924684,181231914478.4768
64,256,4194304,BlockSelect,1,0.0129163054,83130724363.33072
64,256,4194304,GridSelect,1,0.0030410098,353087262000.9314
64,256,4194304,bits,1,0.0028825965,372491198126.4114
64,1024,1048576,AIR Top-$K$,1,0.0057020899,188306716104.21295
64,1024,1048576,BlockSelect,1,0.0036813942000000002,291667168922.03503
64,1024,1048576,GridSelect,1,0.0029682251,361745416141.1141
64,1024,1048576,bits,1,0.0028731492000000003,373715999155.21265
64,4096,262144,AIR Top-$K$,1,0.0057775817,185846238054.92874
64,4096,262144,BlockSelect,1,0.0029549012,363376556887.9257
64,4096,262144,GridSelect,1,0.0033854654999999996,317162240761.2779
64,4096,262144,bits,1,0.002879992,372828057855.71625
128,64,16777216,AIR Top-$K$,1,0.0059464441,180568724088.401
128,64,16777216,BlockSelect,1,0.0521649154,20583601368.210022
128,64,16777216,GridSelect,1,0.0031809143999999997,337557597903.29474
128,64,16777216,bits,1,0.0029286530000000002,366633337578.7435
128,256,4194304,AIR Top-$K$,1,0.0059250883999999995,181219545011.34534
128,256,4194304,BlockSelect,1,0.012937912000000001,82991894209.82303
128,256,4194304,GridSelect,1,0.0033337518000000005,322082113011.5325
128,256,4194304,bits,1,0.0028800074,372826064266.3626
128,1024,1048576,AIR Top-$K$,1,0.0057074384,188130251918.26865
128,1024,1048576,BlockSelect,1,0.0036551675999999997,293759942498.9432
128,1024,1048576,GridSelect,1,0.0030549122,351480420288.3474
128,1024,1048576,bits,1,0.0028738920000000003,373619406713.96136
128,4096,262144,AIR Top-$K$,1,0.0057929824,185352164025.21783
128,4096,262144,BlockSelect,1,0.0029727509,361194684694.2339
128,4096,262144,GridSelect,1,0.0031785377,337810001120.9557
128,4096,262144,bits,1,0.0028887738999999997,371694657030.79083
256,64,16777216,AIR Top-$K$,1,0.0059622168000000005,180091039963.52496
256,64,16777216,BlockSelect,1,0.0522059059,20567439746.314217
256,64,16777216,GridSelect,1,0.0033056169,324823431293.56586
256,64,16777216,bits,1,0.002936159,365696075723.4196
256,256,4194304,AIR Top-$K$,1,0.005934468300000001,180933113081.08258
256,256,4194304,BlockSelect,1,0.0129777126,82737371145.05063
256,256,4194304,GridSelect,1,0.0036711852000000005,292478250348.1437
256,256,4194304,bits,1,0.0028864444,371994632565.93475
256,1024,1048576,AIR Top-$K$,1,0.0057184585,187767704181.11804
256,1024,1048576,BlockSelect,1,0.0037134477999999998,289149567148.8906
256,1024,1048576,GridSelect,1,0.0032444681000000004,330945409511.03815
256,1024,1048576,bits,1,0.0028752922,373437462808.1278
256,4096,262144,AIR Top-$K$,1,0.0058126869999999995,184723833228.93527
256,4096,262144,BlockSelect,1,0.0035724465999999997,300562036112.73016
256,4096,262144,GridSelect,1,0.0032706926999999998,328291870404.08905
256,4096,262144,bits,1,0.0029029767,369876142650.4043
512,64,16777216,AIR Top-$K$,1,0.005962883699999999,180070898246.76608
