k,query_count,point_count,algorithm,dim,time,throughput
1024,256,4194304,BlockSelect,1,0.0159950037,67129826547.02356
1024,256,4194304,GridSelect,1,0.026664462300000004,40268647157.38145
1024,256,4194304,bits,1,0.0028892997,371627015362.9269
1024,1024,1048576,AIR Top-$K$,1,0.0055027913,195126757578.4675
1024,1024,1048576,BlockSelect,1,0.0148432644,72338657795.51834
1024,1024,1048576,GridSelect,1,0.0180337456,59540699298.763535
1024,1024,1048576,bits,1,0.0024567777999999997,437052884473.31305
1024,4096,262144,AIR Top-$K$,1,0.0056149265,191229898378.9013
1024,4096,262144,BlockSelect,1,0.019800673499999998,54227540492.49891
1024,4096,262144,GridSelect,1,0.0157006978,68388159410.34162
1024,4096,262144,bits,1,0.0039497117,271853215008.07263
2048,64,16777216,AIR Top-$K$,1,0.0056478951,190113627287.44733
2048,64,16777216,GridSelect,1,0.026172656300000003,41025328560.17369
2048,64,16777216,bits,1,0.0034319238,312868783391.98553
2048,256,4194304,AIR Top-$K$,1,0.0057765592,185879134416.21097
2048,256,4194304,GridSelect,1,0.0402848111,26653763408.114876
2048,256,4194304,bits,1,0.0033233299,323092156454.284
2048,1024,1048576,AIR Top-$K$,1,0.0055560867,193255051977.50064
2048,1024,1048576,GridSelect,1,0.0376970897,28483414304.52654
2048,1024,1048576,bits,1,0.0029158132,368247809564.75543
2048,4096,262144,AIR Top-$K$,1,0.0057505829000000005,186718780108.36084
2048,4096,262144,GridSelect,1,0.042057039000000004,25530609132.99198
2048,4096,262144,bits,1,0.0051408128,208866159063.40726
