point_count,query_count,algorithm,dim,time
1048576,1024,cuBLAS GEMM + postprocessing,16,0.025266764
1048576,1024,cuBLAS GEMM + postprocessing,16,0.028017116
1048576,1024,cuBLAS GEMM + postprocessing,16,0.026707739
1048576,1024,cuBLAS GEMM + postprocessing,16,0.02669929
1048576,1024,cuBLAS GEMM + postprocessing,16,0.026750296
1048576,1024,MAGMA-distance (unexpanded),16,0.008565835
1048576,1024,MAGMA-distance (unexpanded),16,0.008590181
1048576,1024,MAGMA-distance (unexpanded),16,0.008624433
1048576,1024,MAGMA-distance (unexpanded),16,0.008570137
1048576,1024,MAGMA-distance (unexpanded),16,0.008572652999999998
1048576,1024,MAGMA-distance (unexpanded),16,0.008570282999999998
1048576,1024,MAGMA-distance (unexpanded),16,0.008577921
1048576,1024,MAGMA-distance (unexpanded),16,0.008578759999999998
1048576,1024,MAGMA-distance (unexpanded),16,0.008633939999999998
1048576,1024,MAGMA-distance (unexpanded),16,0.008591118999999998
1048576,1024,MAGMA-distance,16,0.008688286999999998
1048576,1024,MAGMA-distance,16,0.008672031999999998
1048576,1024,MAGMA-distance,16,0.008705743999999998
1048576,1024,MAGMA-distance,16,0.008635246
1048576,1024,MAGMA-distance,16,0.008660884
1048576,1024,MAGMA-distance,16,0.008584766
1048576,1024,MAGMA-distance,16,0.00870267
1048576,1024,MAGMA-distance,16,0.008699902
1048576,1024,MAGMA-distance,16,0.008734690999999998
1048576,1024,MAGMA-distance,16,0.00865767
1048576,1024,baseline,32,0.177335316
1048576,1024,baseline,32,0.177298209
1048576,1024,baseline,32,0.177358813
1048576,1024,baseline,32,0.177315915
1048576,1024,baseline,32,0.177374482
1048576,1024,baseline,32,0.177321897
1048576,1024,baseline,32,0.177346218
1048576,1024,baseline,32,0.177353149
1048576,1024,baseline,32,0.177339389
1048576,1024,baseline,32,0.177331614
1048576,1024,Kuang et al.,32,0.026842674
1048576,1024,Kuang et al.,32,0.026828224
1048576,1024,Kuang et al.,32,0.02683061
1048576,1024,Kuang et al.,32,0.026800098
1048576,1024,Kuang et al.,32,0.026849433
1048576,1024,Kuang et al.,32,0.026833438
1048576,1024,Kuang et al.,32,0.026868849
1048576,1024,Kuang et al.,32,0.026841762
1048576,1024,Kuang et al.,32,0.026855492
1048576,1024,Kuang et al.,32,0.026849502
1048576,1024,cuBLAS GEMM + postprocessing,32,0.027984436
1048576,1024,cuBLAS GEMM + postprocessing,32,0.026771745
1048576,1024,cuBLAS GEMM + postprocessing,32,0.026765215
1048576,1024,cuBLAS GEMM + postprocessing,32,0.0261657
1048576,1024,cuBLAS GEMM + postprocessing,32,0.025932959
1048576,1024,cuBLAS GEMM + postprocessing,32,0.026652553
1048576,1024,cuBLAS GEMM + postprocessing,32,0.028043575
1048576,1024,cuBLAS GEMM + postprocessing,32,0.026453221
1048576,1024,cuBLAS GEMM + postprocessing,32,0.02693337
1048576,1024,cuBLAS GEMM + postprocessing,32,0.026745392
1048576,1024,MAGMA-distance (unexpanded),32,0.011423033
1048576,1024,MAGMA-distance (unexpanded),32,0.011484371
