k,query_count,point_count,algorithm,dim,time,throughput
32,64,16777216,AIR Top-$K$,1,0.0116165757,92431870779.26932
32,64,16777216,BlockSelect,1,0.0407288111,26363200766.2507
32,64,16777216,GridSelect,1,0.0052076807,206184266251.19318
32,64,16777216,bits,1,0.0051981822,206561021273.9369
32,256,4194304,AIR Top-$K$,1,0.0116432864,92219824121.13474
32,256,4194304,BlockSelect,1,0.0107691118,99705699405.96216
32,256,4194304,GridSelect,1,0.005202775200000001,206378669599.25537
32,256,4194304,bits,1,0.0051846669,207099480971.47766
32,1024,1048576,AIR Top-$K$,1,0.0116986587,91783327604.89885
32,1024,1048576,BlockSelect,1,0.005268155599999999,203817408885.94864
32,1024,1048576,GridSelect,1,0.005215691,205867606804.16077
32,1024,1048576,bits,1,0.0051850683,207083448447.5354
32,4096,262144,AIR Top-$K$,1,0.0112843232,95153409289.09233
32,4096,262144,BlockSelect,1,0.005221330200000001,205645263346.8766
32,4096,262144,GridSelect,1,0.0052113644,206038523040.14667
32,4096,262144,bits,1,0.0051812969,207234181851.26584
64,64,16777216,AIR Top-$K$,1,0.0116180063,92420489047.24728
64,64,16777216,BlockSelect,1,0.0405397508,26486147615.885193
64,64,16777216,GridSelect,1,0.005228249,205373122817.9836
64,64,16777216,bits,1,0.0052017758999999995,206418316483.03036
64,256,4194304,AIR Top-$K$,1,0.0116533247,92140384966.70396
64,256,4194304,BlockSelect,1,0.0107450683,99928803989.08214
64,256,4194304,GridSelect,1,0.0052238352000000005,205546649710.54214
64,256,4194304,bits,1,0.0051774328,207388848002.04456
64,1024,1048576,AIR Top-$K$,1,0.0116943158,91817413037.53743
64,1024,1048576,BlockSelect,1,0.0052715678,203685481195.93567
64,1024,1048576,GridSelect,1,0.0052246455,205514771097.86685
64,1024,1048576,bits,1,0.0051805657,207263431482.0098
64,4096,262144,AIR Top-$K$,1,0.0112952155,95061650129.65002
64,4096,262144,BlockSelect,1,0.0052508419,204489459871.18753
64,4096,262144,GridSelect,1,0.0052113251,206040076831.8983
64,4096,262144,bits,1,0.0051866041000000005,207022129180.82565
128,64,16777216,AIR Top-$K$,1,0.011653387900000001,92139885260.31987
128,64,16777216,BlockSelect,1,0.0405801544,26459776703.067448
128,64,16777216,GridSelect,1,0.0052439389,204758645071.16968
128,64,16777216,bits,1,0.0052097018,206104277216.02032
128,256,4194304,AIR Top-$K$,1,0.0116823025,91911831935.52812
128,256,4194304,BlockSelect,1,0.0107932848,99482395201.87589
128,256,4194304,GridSelect,1,0.0052466732,204651935249.17847
128,256,4194304,bits,1,0.0051819645,207207483571.14374
128,1024,1048576,AIR Top-$K$,1,0.011729755599999999,91539999691.04216
128,1024,1048576,BlockSelect,1,0.0052678159,203830552240.82526
128,1024,1048576,GridSelect,1,0.0052455662,204695124045.90375
128,1024,1048576,bits,1,0.0051801818,207278791643.9535
128,4096,262144,AIR Top-$K$,1,0.0113745515,94398607628.61726
128,4096,262144,BlockSelect,1,0.0053091734000000005,202242749125.50415
128,4096,262144,GridSelect,1,0.0052301985,205296572204.66873
128,4096,262144,bits,1,0.005192018,206806259916.6644
256,64,16777216,AIR Top-$K$,1,0.0116475121,92186366906.62892
256,64,16777216,BlockSelect,1,0.0409992747,26189288270.506893
256,64,16777216,GridSelect,1,0.0053486748,200749132102.77808
256,64,16777216,bits,1,0.0052093864,206116755708.50342
256,256,4194304,AIR Top-$K$,1,0.0116743987,91974058072.901
256,256,4194304,BlockSelect,1,0.0109613366,97957198394.94757
256,256,4194304,GridSelect,1,0.0053272606,201556091323.93488
256,256,4194304,bits,1,0.005192027,206805901433.10117
256,1024,1048576,AIR Top-$K$,1,0.0117599426,91305022526.2154
256,1024,1048576,BlockSelect,1,0.0053168536,201950609285.16068
256,1024,1048576,GridSelect,1,0.005365924199999999,200103800199.04123
256,1024,1048576,bits,1,0.0051762861,207434790746.97977
256,4096,262144,AIR Top-$K$,1,0.0114093983,94110293616.44777
256,4096,262144,BlockSelect,1,0.0053709139,199917899261.05502
256,4096,262144,GridSelect,1,0.0053676828,200038240709.75284
256,4096,262144,bits,1,0.0051962844,206636462007.35278
512,64,16777216,AIR Top-$K$,1,0.0116495591,92170168397.18852
512,64,16777216,BlockSelect,1,0.0423416034,25359026058.98954
512,64,16777216,GridSelect,1,0.0060210329,178331831403.87756
512,64,16777216,bits,1,0.0052087083,206143589188.89737
512,256,4194304,AIR Top-$K$,1,0.011695551799999999,91807709662.74547
512,256,4194304,BlockSelect,1,0.0113292454,94776111390.43735
512,256,4194304,GridSelect,1,0.0062630785,171439943471.88846
512,256,4194304,bits,1,0.0051878246,206973424660.5022
512,1024,1048576,AIR Top-$K$,1,0.0117780019,91165023839.90956
512,1024,1048576,BlockSelect,1,0.006407006,167588702741.96716
512,1024,1048576,GridSelect,1,0.0070512405,152277010548.71124
512,1024,1048576,bits,1,0.005195898,206651828808.0328
512,4096,262144,AIR Top-$K$,1,0.0115051263,93327252217.99608
512,4096,262144,BlockSelect,1,0.0059885392,179299456535.24316
512,4096,262144,GridSelect,1,0.0070453832,152403608649.7041
512,4096,262144,bits,1,0.0052348709,205113334122.52823
1024,64,16777216,AIR Top-$K$,1,0.0116640529,92055637367.69405
1024,64,16777216,BlockSelect,1,0.0425724562,25221514562.27231
1024,64,16777216,GridSelect,1,0.0087358609,122911964406.39297
1024,64,16777216,bits,1,0.0052225385,205597684727.4558
1024,256,4194304,AIR Top-$K$,1,0.0117328675,91515720602.82791
1024,256,4194304,BlockSelect,1,0.011578129400000001,92738799758.10254
1024,256,4194304,GridSelect,1,0.0092724828,115798739901.67982
1024,256,4194304,bits,1,0.005195777699999999,206656613503.69168
1024,1024,1048576,AIR Top-$K$,1,0.0118059625,90949113551.73286
1024,1024,1048576,BlockSelect,1,0.009604094300000001,111800424950.01323
1024,1024,1048576,GridSelect,1,0.0092603985,115949850754.26291
1024,1024,1048576,bits,1,0.0052250932,205497162041.0522
1024,4096,262144,AIR Top-$K$,1,0.0115636526,92854901573.22783
1024,4096,262144,BlockSelect,1,0.0105365348,101906541797.78346
1024,4096,262144,GridSelect,1,0.0105858412,101431884695.19078
1024,4096,262144,bits,1,0.0053188369,201875305482.67047
2048,64,16777216,AIR Top-$K$,1,0.0116423942,92226891269.49507
2048,64,16777216,BlockSelect,1,0.08561494210000001,12541523683.399185
2048,64,16777216,GridSelect,1,0.013722319699999999,78247836187.63817
2048,64,16777216,bits,1,0.0052715357,203686721499.39154
2048,256,4194304,AIR Top-$K$,1,0.0117183314,91629242026.72745
2048,256,4194304,BlockSelect,1,0.0223117454,48124510420.417404
2048,256,4194304,GridSelect,1,0.0136467759,78680988965.31305
2048,256,4194304,bits,1,0.0052297765,205313137951.49756
2048,1024,1048576,AIR Top-$K$,1,0.011910959,90147386453.09752
2048,1024,1048576,BlockSelect,1,0.0184529711,58188018513.72324
2048,1024,1048576,GridSelect,1,0.015485689799999999,69337681295.92781
2048,1024,1048576,bits,1,0.0053678831,200030776378.12195
2048,4096,262144,AIR Top-$K$,1,0.011625443099999999,92361367628.21541
2048,4096,262144,BlockSelect,1,0.021154562300000002,50756986071.03773
2048,4096,262144,GridSelect,1,0.0190092814,56485134887.84483
2048,4096,262144,bits,1,0.005636546399999999,190496404677.87155
