algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.149089988,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.149084725,volta05,108414,random
bits (random data),uniform,identity,10,16777216,64,1,512,128,"1,1,1",1,selection,0.022101815,volta05,108414,random
bits (random data),uniform,identity,11,16777216,64,1,512,128,"1,1,1",1,selection,0.022039492,volta05,108414,random
bits (random data),uniform,identity,12,16777216,64,1,512,128,"1,1,1",1,selection,0.022057627,volta05,108414,random
bits (random data),uniform,identity,13,16777216,64,1,512,128,"1,1,1",1,selection,0.022068761,volta05,108414,random
bits (random data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.022161766,volta05,108414,random
bits (random data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.022072801,volta05,108414,random
bits (random data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.022056764,volta05,108414,random
bits (random data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.022041293,volta05,108414,random
bits (random data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.022076186,volta05,108414,random
bits (random data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.022069993,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.149099122,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.149089498,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.149081149,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.149091961,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.149075651,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.149066556,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.149074268,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.14907622,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.149085548,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.149041427,volta05,108414,random
bits (random data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.022136135,volta05,108414,random
bits (random data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.022087809,volta05,108414,random
bits (random data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.022087836,volta05,108414,random
bits (random data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.022073234,volta05,108414,random
bits (random data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.022072018,volta05,108414,random
bits (random data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.022127004,volta05,108414,random
bits (random data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.022155687,volta05,108414,random
bits (random data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.022083766,volta05,108414,random
bits (random data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.022095035,volta05,108414,random
bits (random data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.022097019,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,256,512,"1,1,1",1,selection,0.132452651,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,256,512,"1,1,1",1,selection,0.131663817,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,256,512,"1,1,1",1,selection,0.132728442,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,256,512,"1,1,1",1,selection,0.131784733,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,256,512,"1,1,1",1,selection,0.131691532,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,256,512,"1,1,1",1,selection,0.132275661,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,256,512,"1,1,1",1,selection,0.132665205,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,256,512,"1,1,1",1,selection,0.132753455,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,256,512,"1,1,1",1,selection,0.131684059,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,256,512,"1,1,1",1,selection,0.131689265,volta05,108414,random
bits (random data),uniform,identity,10,16777216,64,1,512,512,"1,1,1",1,selection,0.022197121,volta05,108414,random
bits (random data),uniform,identity,11,16777216,64,1,512,512,"1,1,1",1,selection,0.022198307,volta05,108414,random
bits (random data),uniform,identity,12,16777216,64,1,512,512,"1,1,1",1,selection,0.022158116,volta05,108414,random
bits (random data),uniform,identity,13,16777216,64,1,512,512,"1,1,1",1,selection,0.022127504,volta05,108414,random
bits (random data),uniform,identity,14,16777216,64,1,512,512,"1,1,1",1,selection,0.022177451,volta05,108414,random
bits (random data),uniform,identity,15,16777216,64,1,512,512,"1,1,1",1,selection,0.022168355,volta05,108414,random
bits (random data),uniform,identity,16,16777216,64,1,512,512,"1,1,1",1,selection,0.02219356,volta05,108414,random
bits (random data),uniform,identity,17,16777216,64,1,512,512,"1,1,1",1,selection,0.02220037,volta05,108414,random
bits (random data),uniform,identity,18,16777216,64,1,512,512,"1,1,1",1,selection,0.022129601,volta05,108414,random
bits (random data),uniform,identity,19,16777216,64,1,512,512,"1,1,1",1,selection,0.022117741,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.119063281,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.119043423,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.119036285,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.119056389,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.119044275,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.119070037,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.119074268,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.11907667,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.119053623,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.119069367,volta05,108414,random
bits (random data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.021911732,volta05,108414,random
bits (random data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.021931054,volta05,108414,random
bits (random data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.021915365,volta05,108414,random
bits (random data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.021934632,volta05,108414,random
bits (random data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.021932515,volta05,108414,random
bits (random data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.02192929,volta05,108414,random
bits (random data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.021962175,volta05,108414,random
bits (random data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.02196002,volta05,108414,random
bits (random data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.021887469,volta05,108414,random
bits (random data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.021938249,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.117567183,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.11756358,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.117539347,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.117550167,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.117559566,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.117572034,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.117561682,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.117562296,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.117596372,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.117593201,volta05,108414,random
bits (random data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.021809261,volta05,108414,random
bits (random data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.021823907,volta05,108414,random
bits (random data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.021783046,volta05,108414,random
bits (random data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.021860278,volta05,108414,random
bits (random data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.021818486,volta05,108414,random
bits (random data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.021829694,volta05,108414,random
bits (random data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.021810268,volta05,108414,random
bits (random data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.0218344,volta05,108414,random
bits (random data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.021826762,volta05,108414,random
bits (random data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.021794155,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.068793444,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.068762162,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.068774284,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.068767159,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.06878787,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.068776011,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.068803977,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.068794276,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.068776953,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.068775364,volta05,108414,random
bits (random data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.011786355,volta05,108414,random
