algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.164535145,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.164517919,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.164543798,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.164572902,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.164550348,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.164535526,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.164533432,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.164540013,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.164533222,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.164556057,ampere02,108405,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.023555728,ampere02,108405,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.023572473,ampere02,108405,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.023560845,ampere02,108405,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.023556349,ampere02,108405,ascending
bits (ascending data),uniform,ascending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.023559033,ampere02,108405,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.02357065,ampere02,108405,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.023553594,ampere02,108405,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.023546603,ampere02,108405,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.02356385,ampere02,108405,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.023580334,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,512,64,"1,1,1",1,selection,0.164576517,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,512,64,"1,1,1",1,selection,0.164535365,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,512,64,"1,1,1",1,selection,0.164553463,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,512,64,"1,1,1",1,selection,0.164576747,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,512,64,"1,1,1",1,selection,0.164554184,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,512,64,"1,1,1",1,selection,0.164539562,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,512,64,"1,1,1",1,selection,0.164527554,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,512,64,"1,1,1",1,selection,0.164532111,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,512,64,"1,1,1",1,selection,0.164554273,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,512,64,"1,1,1",1,selection,0.164537649,ampere02,108405,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,64,"1,1,1",1,selection,0.023580666,ampere02,108405,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,64,"1,1,1",1,selection,0.023566414,ampere02,108405,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,64,"1,1,1",1,selection,0.023553494,ampere02,108405,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,64,"1,1,1",1,selection,0.023561637,ampere02,108405,ascending
bits (ascending data),uniform,ascending,14,16777216,64,1,512,64,"1,1,1",1,selection,0.023574165,ampere02,108405,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,64,"1,1,1",1,selection,0.023559143,ampere02,108405,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,64,"1,1,1",1,selection,0.023560585,ampere02,108405,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,64,"1,1,1",1,selection,0.023572473,ampere02,108405,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,64,"1,1,1",1,selection,0.023554777,ampere02,108405,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,64,"1,1,1",1,selection,0.023556278,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,512,128,"1,1,1",1,selection,0.164536688,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,512,128,"1,1,1",1,selection,0.164539261,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,512,128,"1,1,1",1,selection,0.164549838,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,512,128,"1,1,1",1,selection,0.164568546,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,512,128,"1,1,1",1,selection,0.164541454,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,512,128,"1,1,1",1,selection,0.164552791,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,512,128,"1,1,1",1,selection,0.164539782,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,512,128,"1,1,1",1,selection,0.164561725,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,512,128,"1,1,1",1,selection,0.164547094,ampere02,108405,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,512,128,"1,1,1",1,selection,0.164549216,ampere02,108405,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,128,"1,1,1",1,selection,0.023566594,ampere02,108405,ascending
