k,query_count,point_count,algorithm,dim,time,throughput
1024,256,4194304,BlockSelect,1,0.0207492342,51748503759.23753
1024,256,4194304,GridSelect,1,0.030606233500000003,35082455474.30721
1024,256,4194304,bits,1,0.0033617028,319404149587.5245
1024,1024,1048576,AIR Top-$K$,1,0.0061218538,175394881857.51837
1024,1024,1048576,BlockSelect,1,0.0175688489,61116230785.04591
1024,1024,1048576,GridSelect,1,0.0212781313,50462223813.79891
1024,1024,1048576,bits,1,0.0031958698,335977962556.54724
1024,4096,262144,AIR Top-$K$,1,0.0062200554,172625765358.93878
1024,4096,262144,BlockSelect,1,0.0181285007,59229488514.734146
1024,4096,262144,GridSelect,1,0.0229900372,46704657963.75484
1024,4096,262144,bits,1,0.0047460384,226239598904.2145
2048,64,16777216,AIR Top-$K$,1,0.0059303355,181059203817.38943
2048,64,16777216,GridSelect,1,0.030196190499999997,35558850511.292145
2048,64,16777216,bits,1,0.004482149499999999,239559573816.08984
2048,256,4194304,AIR Top-$K$,1,0.0059463558,180571405431.20544
2048,256,4194304,GridSelect,1,0.0455702853,23562323933.925426
2048,256,4194304,bits,1,0.0036964602,290478394438.00854
2048,1024,1048576,AIR Top-$K$,1,0.006207812,172966227714.3702
2048,1024,1048576,GridSelect,1,0.0420444527,25538251898.80519
2048,1024,1048576,bits,1,0.0037262692,288154657210.48816
2048,4096,262144,AIR Top-$K$,1,0.0063958038,167882233035.3536
2048,4096,262144,GridSelect,1,0.0461658978,23258332994.013603
2048,4096,262144,bits,1,0.0066598563,161225974800.6875
