algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,128,"1,1,1",1,selection,0.104393873,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,128,"1,1,1",1,selection,0.104354863,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,128,"1,1,1",1,selection,0.104358362,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.104376433,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.104416632,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.106522139,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.105193064,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.104371393,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.106516269,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,128,"1,1,1",1,selection,0.021186291,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,128,"1,1,1",1,selection,0.02135463,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,128,"1,1,1",1,selection,0.0213169,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,128,"1,1,1",1,selection,0.020981723,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.021154302,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.02133956,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.021329219,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.021333449,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.020972733,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.021181621,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.104376483,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.104380893,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.106506419,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.104362973,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.104363853,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.104382683,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.104434592,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.104397213,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.105231393,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.104487902,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.021373529,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.02135676,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.021356649,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.021379729,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.021392929,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.021363719,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.02126104,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.020828115,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.021233581,bw01,35760910,data/buffer-bw01-35760910.csv,random
