k,query_count,point_count,algorithm,dim,time,throughput
16,4096,262144,raftL2-fused,8,0.0058987341,182029195721.8414
16,4096,262144,raftL2-fused,16,0.0060417594,177720056843.04477
16,8192,131072,bits + MAGMA,4,0.005097646900000001,210634797792.6835
16,8192,131072,bits + MAGMA,8,0.0053019065,202519947117.13608
16,8192,131072,bits + MAGMA,16,0.0055390977000000004,193847785714.26892
16,8192,131072,bits + zero computation,4,0.004195121705400932,255950100951.2146
16,8192,131072,bits + zero computation,8,0.0041956387569028935,255918558820.97128
16,8192,131072,bits + zero computation,16,0.004200264259906817,255636730824.127
16,8192,131072,bits-fused,4,0.0018231468000000002,588949734601.7336
16,8192,131072,bits-fused,8,0.0022904457999999997,468791631742.6067
16,8192,131072,bits-fused,16,0.003301821,325196860762.5913
16,8192,131072,raftL2-fused,4,0.0048700117,220480337655.04092
16,8192,131072,raftL2-fused,8,0.0050154073,214088659160.34378
16,8192,131072,raftL2-fused,16,0.004877408,220145992297.54822
32,1024,1048576,bits + MAGMA,4,0.0052046132,206305787334.97427
32,1024,1048576,bits + MAGMA,8,0.005441825799999999,197312788660.0119
32,1024,1048576,bits + MAGMA,16,0.0056766685,189149995987.9637
32,1024,1048576,bits + zero computation,4,0.004220345007498314,254420390298.01498
32,1024,1048576,bits + zero computation,8,0.004222987561097658,254261185586.08972
32,1024,1048576,bits + zero computation,16,0.0042420826682963465,253116666496.08765
32,1024,1048576,bits-fused,4,0.0028145925,381491041420.7385
32,1024,1048576,bits-fused,8,0.0039337021,272959618370.6946
32,1024,1048576,bits-fused,16,0.0060417181,177721271702.498
32,1024,1048576,raftL2-fused,4,0.0066725508000000005,160919243057.6924
32,1024,1048576,raftL2-fused,8,0.006746075999999999,159165390962.09412
32,1024,1048576,raftL2-fused,16,0.0067993420999999995,157918488025.48117
32,2048,524288,bits + MAGMA,4,0.0051573161,208197791870.85315
32,2048,524288,bits + MAGMA,8,0.0053809049,199546701522.26627
32,2048,524288,bits + MAGMA,16,0.0056386421,190425603355.81506
32,2048,524288,bits + zero computation,4,0.0042122544558990315,254909060039.40085
32,2048,524288,bits + zero computation,8,0.004210172757899093,255035098496.9569
32,2048,524288,bits + zero computation,16,0.004231652761899215,253740532226.0166
32,2048,524288,bits-fused,4,0.0023428406,458307673172.4728
32,2048,524288,bits-fused,8,0.0031359038,342402666816.50116
32,2048,524288,bits-fused,16,0.0048846987000000005,219817411460.81332
32,2048,524288,raftL2-fused,4,0.006662552499999999,161160729915.4491
