algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
bits (random data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.014853549,ampere01,108415,random
bits (random data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.014859018,ampere01,108415,random
bits (random data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.014861772,ampere01,108415,random
bits (random data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.014870365,ampere01,108415,random
bits (random data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.014858106,ampere01,108415,random
bits (random data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.014872488,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.109829565,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.109824457,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.109828013,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.109828845,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.109830798,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.109830377,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.109831388,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.109827844,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.109830357,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.109818889,ampere01,108415,random
bits (random data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.014894231,ampere01,108415,random
bits (random data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.014886069,ampere01,108415,random
bits (random data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.014890545,ampere01,108415,random
bits (random data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.014889214,ampere01,108415,random
bits (random data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.014885938,ampere01,108415,random
bits (random data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.014888963,ampere01,108415,random
bits (random data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.01487988,ampere01,108415,random
bits (random data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.014883725,ampere01,108415,random
bits (random data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.014883024,ampere01,108415,random
bits (random data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.014888061,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,256,512,"1,1,1",1,selection,0.094823745,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,256,512,"1,1,1",1,selection,0.094818246,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,256,512,"1,1,1",1,selection,0.094819508,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,256,512,"1,1,1",1,selection,0.094823214,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,256,512,"1,1,1",1,selection,0.094818347,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,256,512,"1,1,1",1,selection,0.09481415,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,256,512,"1,1,1",1,selection,0.094816424,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,256,512,"1,1,1",1,selection,0.094816975,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,256,512,"1,1,1",1,selection,0.094801421,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,256,512,"1,1,1",1,selection,0.094823895,ampere01,108415,random
bits (random data),uniform,identity,10,16777216,64,1,512,512,"1,1,1",1,selection,0.014915864,ampere01,108415,random
bits (random data),uniform,identity,11,16777216,64,1,512,512,"1,1,1",1,selection,0.014921893,ampere01,108415,random
bits (random data),uniform,identity,12,16777216,64,1,512,512,"1,1,1",1,selection,0.014938328,ampere01,108415,random
bits (random data),uniform,identity,13,16777216,64,1,512,512,"1,1,1",1,selection,0.014930637,ampere01,108415,random
bits (random data),uniform,identity,14,16777216,64,1,512,512,"1,1,1",1,selection,0.014937136,ampere01,108415,random
bits (random data),uniform,identity,15,16777216,64,1,512,512,"1,1,1",1,selection,0.014926941,ampere01,108415,random
bits (random data),uniform,identity,16,16777216,64,1,512,512,"1,1,1",1,selection,0.014927753,ampere01,108415,random
bits (random data),uniform,identity,17,16777216,64,1,512,512,"1,1,1",1,selection,0.014922124,ampere01,108415,random
bits (random data),uniform,identity,18,16777216,64,1,512,512,"1,1,1",1,selection,0.014930667,ampere01,108415,random
bits (random data),uniform,identity,19,16777216,64,1,512,512,"1,1,1",1,selection,0.01493276,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.09029442,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.090296653,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.09030112000000001,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.090297414,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.090297605,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.090297564,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.090288591,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.090291045,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.090295291,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.09029484,ampere01,108415,random
bits (random data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.014989857,ampere01,108415,random
bits (random data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.014992992,ampere01,108415,random
bits (random data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.014987262,ampere01,108415,random
bits (random data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.014980933,ampere01,108415,random
bits (random data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.014978229,ampere01,108415,random
bits (random data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.01498573,ampere01,108415,random
bits (random data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.014983066,ampere01,108415,random
bits (random data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.014984669,ampere01,108415,random
bits (random data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.014986972,ampere01,108415,random
bits (random data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.014993522,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.08936754099999998,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.089359097,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.089362092,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.089359348,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.089364236,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.089359809,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.08936048,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.08936500699999998,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.089368112,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.08936253299999998,ampere01,108415,random
bits (random data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.015045191,ampere01,108415,random
bits (random data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.015055055,ampere01,108415,random
bits (random data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.01504529,ampere01,108415,random
bits (random data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.015052341,ampere01,108415,random
bits (random data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.015054094,ampere01,108415,random
bits (random data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.015059191,ampere01,108415,random
bits (random data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.015042737,ampere01,108415,random
bits (random data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.015039933,ampere01,108415,random
bits (random data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.0150515,ampere01,108415,random
bits (random data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.015058601,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.040140889,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.040141801,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.040143383,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.040143704,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.040133738,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.04014802,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.040138266,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.040131836,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.040138516,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.040140859,ampere01,108415,random
bits (random data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.007477277,ampere01,108415,random
bits (random data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.007467431,ampere01,108415,random
bits (random data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.007472089,ampere01,108415,random
bits (random data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.007471788,ampere01,108415,random
bits (random data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.007469433999999999,ampere01,108415,random
bits (random data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.007477957,ampere01,108415,random
bits (random data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.007472409,ampere01,108415,random
bits (random data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.007473910999999998,ampere01,108415,random
bits (random data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.007470135999999999,ampere01,108415,random
bits (random data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.007469875,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.040139387,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.04014173,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.040150614,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.04014162,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.040143043,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.04013457,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,64,"1,1,1",1,selection,0.040135421,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,64,"1,1,1",1,selection,0.040136874,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,64,"1,1,1",1,selection,0.040136593,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,64,"1,1,1",1,selection,0.040423339,ampere01,108415,random
bits (random data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.007483224999999999,ampere01,108415,random
bits (random data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.007480360999999999,ampere01,108415,random
bits (random data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.007476756,ampere01,108415,random
bits (random data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.007487080999999999,ampere01,108415,random
bits (random data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.007480081,ampere01,108415,random
bits (random data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.007479869999999999,ampere01,108415,random
bits (random data),uniform,identity,16,4194304,256,1,256,64,"1,1,1",1,selection,0.007485628999999998,ampere01,108415,random
bits (random data),uniform,identity,17,4194304,256,1,256,64,"1,1,1",1,selection,0.007484918,ampere01,108415,random
bits (random data),uniform,identity,18,4194304,256,1,256,64,"1,1,1",1,selection,0.007476685,ampere01,108415,random
bits (random data),uniform,identity,19,4194304,256,1,256,64,"1,1,1",1,selection,0.007484958,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,128,"1,1,1",1,selection,0.040151005,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,128,"1,1,1",1,selection,0.040139417,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,128,"1,1,1",1,selection,0.040138326,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,128,"1,1,1",1,selection,0.040144876,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,128,"1,1,1",1,selection,0.040144074,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,128,"1,1,1",1,selection,0.040148611,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,128,"1,1,1",1,selection,0.040148802,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,128,"1,1,1",1,selection,0.040142322,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,128,"1,1,1",1,selection,0.040132346,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,128,"1,1,1",1,selection,0.040136202,ampere01,108415,random
bits (random data),uniform,identity,10,4194304,256,1,512,128,"1,1,1",1,selection,0.005295179,ampere01,108415,random
bits (random data),uniform,identity,11,4194304,256,1,512,128,"1,1,1",1,selection,0.005312025,ampere01,108415,random
bits (random data),uniform,identity,12,4194304,256,1,512,128,"1,1,1",1,selection,0.005318544,ampere01,108415,random
bits (random data),uniform,identity,13,4194304,256,1,512,128,"1,1,1",1,selection,0.005308349,ampere01,108415,random
bits (random data),uniform,identity,14,4194304,256,1,512,128,"1,1,1",1,selection,0.005315029,ampere01,108415,random
bits (random data),uniform,identity,15,4194304,256,1,512,128,"1,1,1",1,selection,0.005318014,ampere01,108415,random
bits (random data),uniform,identity,16,4194304,256,1,512,128,"1,1,1",1,selection,0.005320999,ampere01,108415,random
bits (random data),uniform,identity,17,4194304,256,1,512,128,"1,1,1",1,selection,0.005322902,ampere01,108415,random
bits (random data),uniform,identity,18,4194304,256,1,512,128,"1,1,1",1,selection,0.005321109,ampere01,108415,random
bits (random data),uniform,identity,19,4194304,256,1,512,128,"1,1,1",1,selection,0.005316893,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,128,256,"1,1,1",1,selection,0.03452332,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,128,256,"1,1,1",1,selection,0.034553446,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,128,256,"1,1,1",1,selection,0.034661239,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,128,256,"1,1,1",1,selection,0.034711806,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,128,256,"1,1,1",1,selection,0.034715052,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,128,256,"1,1,1",1,selection,0.034671476,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,128,256,"1,1,1",1,selection,0.034639617,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,128,256,"1,1,1",1,selection,0.034654059,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,128,256,"1,1,1",1,selection,0.034645536,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,128,256,"1,1,1",1,selection,0.034640698,ampere01,108415,random
bits (random data),uniform,identity,10,4194304,256,1,512,256,"1,1,1",1,selection,0.00532821,ampere01,108415,random
bits (random data),uniform,identity,11,4194304,256,1,512,256,"1,1,1",1,selection,0.005317033,ampere01,108415,random
bits (random data),uniform,identity,12,4194304,256,1,512,256,"1,1,1",1,selection,0.005324994,ampere01,108415,random
bits (random data),uniform,identity,13,4194304,256,1,512,256,"1,1,1",1,selection,0.005317594,ampere01,108415,random
bits (random data),uniform,identity,14,4194304,256,1,512,256,"1,1,1",1,selection,0.005327699,ampere01,108415,random
bits (random data),uniform,identity,15,4194304,256,1,512,256,"1,1,1",1,selection,0.005326698,ampere01,108415,random
bits (random data),uniform,identity,16,4194304,256,1,512,256,"1,1,1",1,selection,0.005330694,ampere01,108415,random
bits (random data),uniform,identity,17,4194304,256,1,512,256,"1,1,1",1,selection,0.005337644,ampere01,108415,random
bits (random data),uniform,identity,18,4194304,256,1,512,256,"1,1,1",1,selection,0.005328871,ampere01,108415,random
bits (random data),uniform,identity,19,4194304,256,1,512,256,"1,1,1",1,selection,0.005325936,ampere01,108415,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,128,512,"1,1,1",1,selection,0.034339781,ampere01,108415,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,128,512,"1,1,1",1,selection,0.03435223,ampere01,108415,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,128,512,"1,1,1",1,selection,0.034338579,ampere01,108415,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,128,512,"1,1,1",1,selection,0.034365751,ampere01,108415,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,128,512,"1,1,1",1,selection,0.034350147,ampere01,108415,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,128,512,"1,1,1",1,selection,0.034354143,ampere01,108415,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,128,512,"1,1,1",1,selection,0.034346592,ampere01,108415,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,128,512,"1,1,1",1,selection,0.034344398,ampere01,108415,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,128,512,"1,1,1",1,selection,0.034355746,ampere01,108415,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,128,512,"1,1,1",1,selection,0.034347343,ampere01,108415,random
bits (random data),uniform,identity,10,4194304,256,1,256,512,"1,1,1",1,selection,0.007106232,ampere01,108415,random
bits (random data),uniform,identity,11,4194304,256,1,256,512,"1,1,1",1,selection,0.007103768,ampere01,108415,random
