algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,distances,9.4064900000000000e-03
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,finish,4.5629000000000000e-05
baseline-dist,uniform,identity,7,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.6575998819898814e-05
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,prepare,3.1000000000000000e-08
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,distances,9.4055400000000004e-03
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,selection,1.4999999999999999e-07
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,finish,5.1019000000000001e-05
baseline-dist,uniform,identity,8,1048576,1024,4,64,1,"1,1,1",1,transfer-out,4.0447997889714316e-05
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,distances,9.4048090000000001e-03
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.0000000000000000e-08
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,finish,4.9410000000000003e-05
baseline-dist,uniform,identity,9,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.9328002458205447e-05
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,prepare,2.0000000000000000e-08
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,distances,9.4054099999999995e-03
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,selection,4.0000000000000001e-08
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,finish,5.3239000000000003e-05
baseline-dist,uniform,identity,10,1048576,1024,4,64,1,"1,1,1",1,transfer-out,4.1952000174205750e-05
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,prepare,2.9999999999999997e-08
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,transfer-in,0.0000000000000000e+00
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,distances,9.4078789999999992e-03
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,selection,1.3000000000000000e-07
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,postprocessing,2.9999999999999997e-08
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,finish,4.8520000000000003e-05
baseline-dist,uniform,identity,11,1048576,1024,4,64,1,"1,1,1",1,transfer-out,3.7792000512126833e-05
