hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
ampere01,L40,tiled-dist,524288,2048,1,32,32,1,1,1,1,0.0210213275
ampere01,L40,tiled-dist,524288,2048,1,64,32,1,1,1,1,0.0379595591
ampere01,L40,tiled-dist,524288,2048,1,128,32,1,1,1,1,0.07289946039999999
ampere01,L40,tiled-dist,524288,2048,1,256,32,1,1,1,1,0.143263205
ampere01,L40,tiled-dist,1048576,1024,1,4,8,1,1,1,1,0.0092872047
ampere01,L40,tiled-dist,1048576,1024,1,8,8,1,1,1,1,0.0094881636
ampere01,L40,tiled-dist,1048576,1024,1,16,16,1,1,1,1,0.0124052763
ampere01,L40,tiled-dist,1048576,1024,1,32,32,1,1,1,1,0.0205543747
ampere01,L40,tiled-dist,1048576,1024,1,64,32,1,1,1,1,0.037122310199999994
ampere01,L40,tiled-dist,1048576,1024,1,128,32,1,1,1,1,0.0716874655
ampere01,L40,tiled-dist,1048576,1024,1,256,32,1,1,1,1,0.1413823158
ampere02,A100,baseline-dist,131072,8192,1,4,128,1,1,1,1,0.0075785376
ampere02,A100,baseline-dist,131072,8192,1,8,256,1,1,1,1,0.0106344616
ampere02,A100,baseline-dist,131072,8192,1,16,64,1,1,1,1,0.0167175468
ampere02,A100,baseline-dist,131072,8192,1,32,64,1,1,1,1,0.0301524705
ampere02,A100,baseline-dist,131072,8192,1,64,256,1,1,1,1,0.1277080189
ampere02,A100,baseline-dist,131072,8192,1,128,256,1,1,1,1,0.3446827766
ampere02,A100,baseline-dist,131072,8192,1,256,128,1,1,1,1,0.6811270149
ampere02,A100,baseline-dist,262144,4096,1,4,256,1,1,1,1,0.0077012809
ampere02,A100,baseline-dist,262144,4096,1,8,512,1,1,1,1,0.0107479197
ampere02,A100,baseline-dist,262144,4096,1,16,128,1,1,1,1,0.017392274899999997
ampere02,A100,baseline-dist,262144,4096,1,32,256,1,1,1,1,0.07401730329999999
ampere02,A100,baseline-dist,262144,4096,1,64,256,1,1,1,1,0.1744995924
ampere02,A100,baseline-dist,262144,4096,1,128,256,1,1,1,1,0.34446077119999996
ampere02,A100,baseline-dist,262144,4096,1,256,128,1,1,1,1,0.6791363358
ampere02,A100,baseline-dist,524288,2048,1,4,256,1,1,1,1,0.007805604799999999
ampere02,A100,baseline-dist,524288,2048,1,8,256,1,1,1,1,0.0112186996
ampere02,A100,baseline-dist,524288,2048,1,16,256,1,1,1,1,0.0420719438
ampere02,A100,baseline-dist,524288,2048,1,32,256,1,1,1,1,0.0896467267
ampere02,A100,baseline-dist,524288,2048,1,64,256,1,1,1,1,0.1769516077
ampere02,A100,baseline-dist,524288,2048,1,128,256,1,1,1,1,0.3451149192
ampere02,A100,baseline-dist,524288,2048,1,256,128,1,1,1,1,0.6805461987
ampere02,A100,baseline-dist,1048576,1024,1,4,128,1,1,1,1,0.008055136899999999
ampere02,A100,baseline-dist,1048576,1024,1,8,256,1,1,1,1,0.023547728400000002
ampere02,A100,baseline-dist,1048576,1024,1,16,256,1,1,1,1,0.0458681644
ampere02,A100,baseline-dist,1048576,1024,1,32,256,1,1,1,1,0.0892336211
ampere02,A100,baseline-dist,1048576,1024,1,64,256,1,1,1,1,0.17446763910000002
ampere02,A100,baseline-dist,1048576,1024,1,128,256,1,1,1,1,0.34467658430000003
ampere02,A100,baseline-dist,1048576,1024,1,256,128,1,1,1,1,0.6798282016
ampere02,A100,cublas-dist,131072,8192,1,4,128,1,1,1,1,0.0117766225
ampere02,A100,cublas-dist,131072,8192,1,8,512,1,1,1,1,0.011783804200000001
ampere02,A100,cublas-dist,131072,8192,1,16,64,1,1,1,1,0.0118773362
ampere02,A100,cublas-dist,131072,8192,1,32,128,1,1,1,1,0.0121958329
ampere02,A100,cublas-dist,131072,8192,1,64,128,1,1,1,1,0.014546705400000002
ampere02,A100,cublas-dist,131072,8192,1,128,512,1,1,1,1,0.0219680431
ampere02,A100,cublas-dist,131072,8192,1,256,64,1,1,1,1,0.0371535768
ampere02,A100,cublas-dist,262144,4096,1,4,64,1,1,1,1,0.011763585699999999
ampere02,A100,cublas-dist,262144,4096,1,8,128,1,1,1,1,0.0117702456
ampere02,A100,cublas-dist,262144,4096,1,16,256,1,1,1,1,0.0118841706
ampere02,A100,cublas-dist,262144,4096,1,32,512,1,1,1,1,0.0121953203
ampere02,A100,cublas-dist,262144,4096,1,64,128,1,1,1,1,0.014677326
ampere02,A100,cublas-dist,262144,4096,1,128,512,1,1,1,1,0.0221104642
ampere02,A100,cublas-dist,262144,4096,1,256,512,1,1,1,1,0.0373056942
ampere02,A100,cublas-dist,524288,2048,1,4,512,1,1,1,1,0.0118999678
ampere02,A100,cublas-dist,524288,2048,1,8,128,1,1,1,1,0.0119086163
ampere02,A100,cublas-dist,524288,2048,1,16,512,1,1,1,1,0.0120342633
ampere02,A100,cublas-dist,524288,2048,1,32,128,1,1,1,1,0.0123614251
ampere02,A100,cublas-dist,524288,2048,1,64,256,1,1,1,1,0.0149250837
ampere02,A100,cublas-dist,524288,2048,1,128,512,1,1,1,1,0.022317716600000002
ampere02,A100,cublas-dist,524288,2048,1,256,128,1,1,1,1,0.0373931942
ampere02,A100,cublas-dist,1048576,1024,1,4,256,1,1,1,1,0.0119038954
ampere02,A100,cublas-dist,1048576,1024,1,8,512,1,1,1,1,0.011930187
ampere02,A100,cublas-dist,1048576,1024,1,16,256,1,1,1,1,0.012057329799999999
ampere02,A100,cublas-dist,1048576,1024,1,32,128,1,1,1,1,0.012445531499999999
ampere02,A100,cublas-dist,1048576,1024,1,64,128,1,1,1,1,0.014955578399999999
ampere02,A100,cublas-dist,1048576,1024,1,128,128,1,1,1,1,0.0224659015
ampere02,A100,cublas-dist,1048576,1024,1,256,64,1,1,1,1,0.0377046293
ampere02,A100,tiled-dist,131072,8192,1,4,16,1,1,1,1,0.0107808338
ampere02,A100,tiled-dist,131072,8192,1,8,16,1,1,1,1,0.0110751919
ampere02,A100,tiled-dist,131072,8192,1,16,16,1,1,1,1,0.0114785685
ampere02,A100,tiled-dist,131072,8192,1,32,32,1,1,1,1,0.0209668347
ampere02,A100,tiled-dist,131072,8192,1,64,32,1,1,1,1,0.0392508372
ampere02,A100,tiled-dist,131072,8192,1,128,32,1,1,1,1,0.0762485676
ampere02,A100,tiled-dist,131072,8192,1,256,32,1,1,1,1,0.147171502
ampere02,A100,tiled-dist,262144,4096,1,4,16,1,1,1,1,0.011016667800000001
ampere02,A100,tiled-dist,262144,4096,1,8,16,1,1,1,1,0.011746559
ampere02,A100,tiled-dist,262144,4096,1,16,16,1,1,1,1,0.0124293802
ampere02,A100,tiled-dist,262144,4096,1,32,32,1,1,1,1,0.0211483213
