hostname,GPU,algorithm,category,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,min_slowdown,max_slowdown,total_count
hopper01,H100,partial-bitonic-warp-static,q >= 256,128,1,1,1,1,1.0,1.382660359177047,21
hopper01,H100,warp-select-tunable,q == 64,128,9,1,1,1,1.0,1.020750006833691,7
hopper01,H100,warp-select-tunable,q >= 256,128,9,1,1,1,1.0,1.8089905095722916,42
volta05,V100,bits,q == 64,512,15,1,1,1,1.0,1.0430453803725666,11
volta05,V100,bits,q >= 256,512,7,1,1,1,1.0,1.257243445781592,66
volta05,V100,bits-prefetch,q == 64,512,9,1,1,1,1.0,1.0223172005827963,11
volta05,V100,bits-prefetch,q >= 256,512,5,1,1,1,1.0,1.1643136178589242,66
volta05,V100,block-select-tunable,q == 64,64,4,1,1,1,1.362441360947625,1.9214971186342023,7
volta05,V100,block-select-tunable,q >= 256,64,4,1,1,1,1.038225817045275,1.7563600209066232,42
volta05,V100,fused-cache,other,1,4,8,1,2,1.0,1.072052584516396,36
volta05,V100,fused-cache,q >= 1024,1,8,4,1,2,1.0,1.3433672604044125,72
volta05,V100,fused-regs-tunable,other,4,2,4,1,1,1.0,1.0,36
volta05,V100,fused-regs-tunable,q >= 1024,4,4,4,1,1,1.0,1.6877124278333195,72
volta05,V100,partial-bitonic,q == 64,512,1,1,1,1,1.0,1.1613293834596259,7
volta05,V100,partial-bitonic,q >= 256,128,1,1,1,1,1.0,1.4551638350424048,21
volta05,V100,partial-bitonic-regs,q == 64,512,1,1,1,1,1.0,1.1302859179376892,7
volta05,V100,partial-bitonic-regs,q >= 256,128,1,1,1,1,1.0,1.4944860124084365,21
volta05,V100,partial-bitonic-warp,q == 64,512,1,1,1,1,1.0,1.053463184555947,7
volta05,V100,partial-bitonic-warp,q >= 256,128,1,1,1,1,1.0,1.9621316976440641,21
volta05,V100,partial-bitonic-warp-static,q == 64,512,1,1,1,1,1.0,1.0630033765454712,7
volta05,V100,partial-bitonic-warp-static,q >= 256,128,1,1,1,1,1.0,1.8358392821164788,21
volta05,V100,warp-select-tunable,q == 64,64,8,1,1,1,1.0040363970354274,1.040372716620725,7
volta05,V100,warp-select-tunable,q >= 256,128,9,1,1,1,1.0,1.5754733763392217,42
