hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown
ampere01,L40,bits,524288,64,4,1,512,7,1,1,1,0.00022540475,1.087650004113585
ampere01,L40,bits,524288,64,4,1,256,15,1,1,1,0.00022750325,1.0977759377224925
ampere01,L40,bits,524288,64,4,1,512,6,1,1,1,0.00023038215,1.1116675509065208
ampere01,L40,bits,524288,64,4,1,256,14,1,1,1,0.00023099200000000001,1.1146102721890523
ampere01,L40,bits,524288,64,4,1,256,13,1,1,1,0.00023329025000000001,1.125700063428829
ampere01,L40,bits,524288,64,4,1,256,12,1,1,1,0.00023647145000000002,1.1410503707896371
ampere01,L40,bits,524288,64,4,1,512,5,1,1,1,0.0002377094,1.1470238754411248
ampere01,L40,bits,524288,64,4,1,256,11,1,1,1,0.00023934274999999998,1.154905311543154
ampere01,L40,bits,524288,64,4,1,256,10,1,1,1,0.00024332920000000001,1.1741412076762154
ampere01,L40,bits,524288,64,4,1,512,4,1,1,1,0.00024757720000000003,1.1946391662040392
ampere01,L40,bits,524288,64,4,1,256,9,1,1,1,0.0002493869,1.203371547453522
ampere01,L40,bits,524288,64,4,1,256,8,1,1,1,0.0002548177,1.229576894245637
ampere01,L40,bits,524288,64,4,1,256,7,1,1,1,0.0002640022,1.2738950439864092
ampere01,L40,bits,524288,64,4,1,512,3,1,1,1,0.00027178660000000003,1.3114572634694581
ampere01,L40,bits,524288,64,4,1,128,16,1,1,1,0.00027294875,1.3170650088797948
ampere01,L40,bits,524288,64,4,1,256,6,1,1,1,0.0002774174,1.3386276742223937
ampere01,L40,bits,524288,64,4,1,128,15,1,1,1,0.000279809,1.3501679090658834
ampere01,L40,bits,524288,64,4,1,128,14,1,1,1,0.0002875931,1.387728680952991
ampere01,L40,bits,524288,64,4,1,128,13,1,1,1,0.00029513435,1.4241176239256728
ampere01,L40,bits,524288,64,4,1,256,5,1,1,1,0.00029685664999999997,1.432428272224277
ampere01,L40,bits,524288,64,4,1,128,12,1,1,1,0.00029975175,1.4463980555891318
ampere01,L40,bits,524288,64,4,1,128,11,1,1,1,0.00031781919999999996,1.5335792798837482
ampere01,L40,bits,524288,64,4,1,512,2,1,1,1,0.0003248732,1.5676170857818816
ampere01,L40,bits,524288,64,4,1,128,10,1,1,1,0.00033111395,1.597730700349329
ampere01,L40,bits,524288,64,4,1,128,9,1,1,1,0.0003442765,1.6612442135368073
ampere01,L40,bits,524288,64,4,1,256,4,1,1,1,0.00034490344999999996,1.664269447787989
ampere01,L40,bits,524288,64,4,1,128,8,1,1,1,0.0003695088,1.782998130429842
ampere01,L40,bits,524288,64,4,1,128,7,1,1,1,0.0003960946,1.9112831176777278
ampere01,L40,bits,524288,64,4,1,256,3,1,1,1,0.00040975325,1.977190472020021
ampere01,L40,bits,524288,64,4,1,128,6,1,1,1,0.0004232313,2.042226373605694
ampere01,L40,bits,524288,64,4,1,128,5,1,1,1,0.0005105063,2.4633561595086664
ampere01,L40,bits,524288,64,4,1,512,1,1,1,1,0.0005219301499999999,2.5184798891527533
ampere01,L40,bits,524288,64,4,1,256,2,1,1,1,0.0005361494,2.587092317777226
ampere01,L40,bits,524288,64,4,1,128,4,1,1,1,0.00058877805,2.841042384885361
ampere01,L40,bits,524288,64,4,1,128,3,1,1,1,0.00071534305,3.4517589858914888
ampere01,L40,bits,524288,64,4,1,256,1,1,1,1,0.0009407804,4.539566295430688
ampere01,L40,bits,524288,64,4,1,128,2,1,1,1,0.0009641949,4.652548745983826
ampere01,L40,bits,524288,64,4,1,128,1,1,1,1,0.00176107325,8.497741629698686
ampere01,L40,bits,524288,64,8,1,512,16,1,1,1,0.00020824715,1.0
ampere01,L40,bits,524288,64,8,1,512,15,1,1,1,0.00020869360000000002,1.0021438468665718
ampere01,L40,bits,524288,64,8,1,512,14,1,1,1,0.00021115585,1.0139675380911575
ampere01,L40,bits,524288,64,8,1,512,13,1,1,1,0.00021136285,1.0149615492937119
ampere01,L40,bits,524288,64,8,1,512,11,1,1,1,0.0002143938,1.0295161302327547
ampere01,L40,bits,524288,64,8,1,512,12,1,1,1,0.0002155498,1.035067226610304
ampere01,L40,bits,524288,64,8,1,512,10,1,1,1,0.00021738044999999997,1.043857983170478
ampere01,L40,bits,524288,64,8,1,512,9,1,1,1,0.00022002595000000002,1.0565616384185812
ampere01,L40,bits,524288,64,8,1,512,8,1,1,1,0.00022244105000000002,1.0681589159803628
ampere01,L40,bits,524288,64,8,1,256,16,1,1,1,0.00022507205,1.0807929424244223
ampere01,L40,bits,524288,64,8,1,512,7,1,1,1,0.00022591590000000002,1.0848450987204388
ampere01,L40,bits,524288,64,8,1,256,15,1,1,1,0.00022752029999999998,1.092549405838207
ampere01,L40,bits,524288,64,8,1,512,6,1,1,1,0.0002300351,1.1046254414526202
ampere01,L40,bits,524288,64,8,1,256,14,1,1,1,0.0002311979,1.1102091913382728
ampere01,L40,bits,524288,64,8,1,256,13,1,1,1,0.00023353624999999999,1.1214379164372716
ampere01,L40,bits,524288,64,8,1,256,12,1,1,1,0.00023614949999999999,1.1339867076212087
ampere01,L40,bits,524288,64,8,1,512,5,1,1,1,0.00023795510000000001,1.142657174419914
ampere01,L40,bits,524288,64,8,1,256,11,1,1,1,0.0002405047,1.1549003191640317
ampere01,L40,bits,524288,64,8,1,256,10,1,1,1,0.0002442031,1.1726599859830014
ampere01,L40,bits,524288,64,8,1,512,4,1,1,1,0.0002479633,1.1907164155667918
ampere01,L40,bits,524288,64,8,1,256,9,1,1,1,0.00024989025,1.199969603425545
ampere01,L40,bits,524288,64,8,1,256,8,1,1,1,0.0002559029,1.2288422674692068
ampere01,L40,bits,524288,64,8,1,256,7,1,1,1,0.00026605625,1.277598516954494
ampere01,L40,bits,524288,64,8,1,512,3,1,1,1,0.0002712717,1.3026430373717
ampere01,L40,bits,524288,64,8,1,128,16,1,1,1,0.0002737669,1.3146249540509918
ampere01,L40,bits,524288,64,8,1,256,6,1,1,1,0.00027817475,1.3357913901822906
ampere01,L40,bits,524288,64,8,1,128,15,1,1,1,0.000280042,1.3447578994478435
ampere01,L40,bits,524288,64,8,1,128,14,1,1,1,0.00028902605,1.3878991861353207
